Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;year
2171;3335;5456;15682;14599;22641;24031;24774;26107;15279;9293;6732;2014
3528;4354;2283;16063;21235;22891;23186;22609;15922;8916;3218;9637;2015
